Bus,,,,,,,,,,,,,,,,,,,,,,,
Number,Name,SubNumber,AreaName,NomkV,BusCat,Vpu,kV,Vangle,LoadMW,SubIDExtra,LoadMvar,GenMW,GenMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,City,County,State,SubLatitude,SubLongitude
120927,Osceola Windpower II 1,1039,IA,161,PQ,1.02291,164.688,28.3,,1039,,,,,0,0,2,1,Bloomingdale,DuPage County,Illinois,43.43,-95.42
120928,Osceola Windpower II 2,1039,IA,115,PQ,1.02115,117.432,28.34,,1039,,,,,0,0,2,1,Bloomingdale,DuPage County,Illinois,43.43,-95.42
120929,Osceola Windpower II 3,1039,IA,69,PQ,1.02115,70.459,28.34,,1039,,,,,0,0,2,1,Bloomington,McLean County,Illinois,43.43,-95.42
120930,Osceola Windpower II 4,1039,IA,22,PV,1.02,22.44,30.36,,1039,,29.76,-1.61,,0,0,2,1,Bloomington,McLean County,Illinois,43.43,-95.42
120931,FPL Energy Crystal Lake Wind LLC 1,1040,IA,69,PQ,1.02491,70.719,16.53,,1040,,,,,0,0,2,1,Bloomington,Hennepin County,Minnesota,43.21,-93.83
120932,FPL Energy Crystal Lake Wind LLC 2,1040,IA,13.8,PV,1.02,14.076,19.33,,1040,,90,-12.45,,0,0,2,1,Bloomington,McLean County,Illinois,43.21,-93.83
120933,FPL Energy Story Wind LLC 1,1041,IA,69,PQ,1.02605,70.798,6.29,,1041,,,,,0,0,2,1,Bloomington,Monroe County,Indiana,42.1,-93.27
120934,FPL Energy Story Wind LLC 2,1041,IA,13.8,PV,1.02,14.076,10.28,,1041,,90,-9.29,,0,0,2,1,Bloomington,McLean County,Illinois,42.1,-93.27
120935,FPL Energy Crystal Lake Wind II LLC 1,1042,IA,345,PQ,1.03919,358.522,10.69,,1042,,,,276.73,0,0,2,1,Bloomington,Monroe County,Indiana,43.27,-93.8
120936,FPL Energy Crystal Lake Wind II LLC 2,1042,IA,161,PQ,1.03181,166.122,11.29,,1042,,,,,0,0,2,1,Bloomington,McLean County,Illinois,43.27,-93.8
120937,FPL Energy Crystal Lake Wind II LLC 3,1042,IA,69,PQ,1.02001,70.38,13.96,,1042,,,,,0,0,2,1,Bloomington,Monroe County,Indiana,43.27,-93.8
120938,FPL Energy Crystal Lake Wind II LLC 4,1042,IA,18,PV,1.02,18.36,12.2,,1042,,120,-85.84,,0,0,2,1,Bloomington,McLean County,Illinois,43.27,-93.8
120939,Lost Lakes Wind Farm LLC 1,1043,IA,69,PQ,1.02382,70.643,34.43,,1043,,,,,0,0,2,1,Bloomington,Monroe County,Indiana,43.35,-95.32
120940,Lost Lakes Wind Farm LLC 2,1043,IA,18,PV,1.02,18.36,36.15,,1043,,60,-9.29,,0,0,2,1,Bloomington,Monroe County,Indiana,43.35,-95.32
120941,Waverly Community Wind Project 1,1044,IA,69,PQ,1.01668,70.151,-17.12,,1044,,,,,0,0,2,1,Bloomington,McLean County,Illinois,42.73,-92.47
120942,Waverly Community Wind Project 2,1044,IA,13.8,PQ,1.0162,14.024,-17.09,,1044,,0.54,-0.54,,0,0,2,1,Bloomington,McLean County,Illinois,42.73,-92.47
120943,Waverly Community Wind Project 3,1044,IA,13.8,PQ,1.0162,14.024,-17.09,,1044,,0.54,-0.54,,0,0,2,1,Bloomington,McLean County,Illinois,42.73,-92.47
120944,Waverly Community Wind Project 4,1044,IA,1,PQ,1.01671,1.017,-17.13,,1044,,,,,0,0,2,1,Bloomington,Monroe County,Indiana,42.73,-92.47
120945,Waverly Community Wind Project 5,1044,IA,13.8,PQ,1.01433,13.998,-16.98,,1044,,0.54,-0.54,,0,0,2,1,Bloomington,McLean County,Illinois,42.73,-92.47
120946,Lakota Wind Wind Farm 1,1045,IA,69,PQ,1.01887,70.302,14.58,,1045,,,,,0,0,2,1,Bloomington,Monroe County,Indiana,43.38,-94.15
120947,Lakota Wind Wind Farm 2,1045,IA,18,PV,1.02,18.36,14.83,,1045,,6.3,1.34,,0,0,2,1,Bloomington,Monroe County,Indiana,43.38,-94.15
120948,Iowa Lakes Superior Wind Farm 1,1046,IA,69,PQ,1.01684,70.162,28.65,,1046,,,,,0,0,2,1,Bloomington,Monroe County,Indiana,43.45,-94.98
120949,Iowa Lakes Superior Wind Farm 2,1046,IA,18,PV,1.02,18.36,28.96,,1046,,6.3,3.25,,0,0,2,1,Bloomington,Monroe County,Indiana,43.45,-94.98
120950,Iowa Lakes Community College Wind Farm 1,1047,IA,69,PQ,1.01385,69.956,24.55,,1047,,,,,0,0,2,1,Bloomington,McLean County,Illinois,43.39,-94.82
120951,Iowa Lakes Community College Wind Farm 2,1047,IA,13.8,PQ (Gens at Var Limit),1.01616,14.023,24.62,,1047,,0.6,1,,0,0,2,1,Bloomington,McLean County,Illinois,43.39,-94.82
120952,Elk Wind Farm 1,1048,IA,161,PQ,1.01089,162.753,-24.17,,1048,,,,,0,0,2,1,Bloomington,McLean County,Illinois,42.58,-91.37
120953,Elk Wind Farm 2,1048,IA,69,PQ,1.00897,69.619,-25.89,,1048,,,,,0,0,2,1,Bloomington,Monroe County,Indiana,42.58,-91.37
120954,Elk Wind Farm 3,1048,IA,13.2,PV,1.02,13.464,-23.04,,1048,,24.48,10.63,,0,0,2,1,Bloomington,McLean County,Illinois,42.58,-91.37
120955,Crystal Lake 3 LLC 1,1049,IA,69,PQ,1.02235,70.542,15.06,,1049,,,,,0,0,2,1,Bloomington,McLean County,Illinois,43.32,-93.88
120956,Crystal Lake 3 LLC 2,1049,IA,13.8,PV,1.02,14.076,16.28,,1049,,39.6,-5.77,,0,0,2,1,Bloomington,Monroe County,Indiana,43.32,-93.88
120957,Garden Wind LLC 1,1050,IA,345,PQ,1.0206,352.107,5.12,,1050,,,,,0,0,2,1,Bloomington,Monroe County,Indiana,42.22,-93.37
120958,Garden Wind LLC 2,1050,IA,161,PQ,1.01906,164.069,5.98,,1050,,,,,0,0,2,1,Bloomington,Monroe County,Indiana,42.22,-93.37
120959,Garden Wind LLC 3,1050,IA,69,PQ,1.01827,70.261,5.63,,1050,,,,,0,0,2,1,Bloomsdale,Ste. Genevieve County,Missouri,42.22,-93.37
120960,Garden Wind LLC 4,1050,IA,20,PV,1.02,20.4,6.96,,1050,,90,-1.41,,0,0,2,1,Blountsville,Henry County,Indiana,42.22,-93.37
120961,Laurel Wind Farm 1,1051,IA,69,PQ,1.02066,70.426,2.17,,1051,,,,,0,0,2,1,Blue Earth,Faribault County,Minnesota,41.88,-92.93
120962,Laurel Wind Farm 2,1051,IA,13.8,PV,1.02,14.076,4.25,,1051,,71.76,-3.29,,0,0,2,1,Blue Earth,Faribault County,Minnesota,41.88,-92.93
120963,Rolling Hills Wind Farm 1,1052,IA,345,PQ,1.03173,355.946,24,,1052,,,,,0,0,2,1,Blue Earth,Faribault County,Minnesota,41.2,-94.77
120964,Rolling Hills Wind Farm 2,1052,IA,161,PQ,1.03175,166.112,23.56,,1052,,,,,0,0,2,1,Blue Earth,Faribault County,Minnesota,41.2,-94.77
120965,Rolling Hills Wind Farm 3,1052,IA,69,PQ,1.02226,70.536,23.28,,1052,,,,,0,0,2,1,Blue Earth,Faribault County,Minnesota,41.2,-94.77
120966,Rolling Hills Wind Farm 4,1052,IA,13.8,PV,1.02,14.076,26.84,,1052,,266.34,-59.04,,0,0,2,1,Blue Earth,Faribault County,Minnesota,41.2,-94.77
120967,New Harvest Wind Project LLC 1,1053,IA,161,PQ,1.02308,164.716,27.94,,1053,,,,,0,0,2,1,Blue Earth,Faribault County,Minnesota,42.16,-95.44
120968,New Harvest Wind Project LLC 2,1053,IA,69,PQ,1.00704,69.486,27.05,,1053,,,,,0,0,2,1,Blue Earth,Faribault County,Minnesota,42.16,-95.44
120969,New Harvest Wind Project LLC 3,1053,IA,22,PV,1.02,22.44,30.37,,1053,,60,-4.81,,0,0,2,1,Blue Earth,Faribault County,Minnesota,42.16,-95.44
120970,Wolverine 1,1054,IA,69,PQ,1.02056,70.419,21.03,,1054,,,,,0,0,2,1,Blue Earth,Faribault County,Minnesota,41.39,-94.44
120971,Wolverine 2,1054,IA,13.8,PV,1.02,14.076,21.17,,1054,,0.9,-0.25,,0,0,2,1,Blue Earth,Faribault County,Minnesota,41.39,-94.44
120972,Bulldog 1,1055,IA,69,PQ,1.02222,70.533,21.51,,1055,,,,,0,0,2,1,Blue Earth,Faribault County,Minnesota,41.23,-94.44
120973,Bulldog 2,1055,IA,13.8,PQ (Gens at Var Limit),1.02043,14.082,21.62,,1055,,0.9,-0.9,,0,0,2,1,Blue Earth,Faribault County,Minnesota,41.23,-94.44
120974,Oakdale Renewable Energy Plant 1,1056,IA,69,PQ,1.0041,69.283,-27.18,,1056,,,,,0,0,2,1,Blue Earth,Faribault County,Minnesota,41.71,-91.6
120975,Oakdale Renewable Energy Plant 2,1056,IA,13.8,PQ (Gens at Var Limit),1.00589,13.881,-27.17,,1056,,0.64,2.8,,0,0,2,1,Blue Earth,Faribault County,Minnesota,41.71,-91.6
120976,Rippey Wind Farm 1,1057,IA,69,PQ,1.0204,70.408,17.5,,1057,,,,,0,0,2,1,Blue Hill,Webster County,Nebraska,42.01,-94.24
120977,Rippey Wind Farm 2,1057,IA,13.8,PV,1.02,14.076,18.33,,1057,,30,-2.68,,0,0,2,1,Blue Hill,Webster County,Nebraska,42.01,-94.24
120978,Hawkeye Wind Farm 1,1058,IA,69,PQ,1.0064,69.442,-20.26,,1058,,,,,0,0,2,1,Blue Hill,Webster County,Nebraska,42.95,-92.06
120979,Hawkeye Wind Farm 2,1058,IA,13.8,PQ,0.99597,13.744,-19.61,,1058,,21,-21,,0,0,2,1,Blue Island,Cook County,Illinois,42.95,-92.06
120980,Franklin County Wind Farm 1,1059,IA,69,PQ,1.02336,70.612,7.87,,1059,,,,,0,0,2,1,Blue Mound,Christian County,Illinois,42.61,-93.34
120981,Franklin County Wind Farm 2,1059,IA,13.8,PV,1.02,14.076,9.96,,1059,,79.2,-9.02,,0,0,2,1,Blue Mountain,Tippah County,Mississippi,42.61,-93.34
120982,Eclipse Wind Farm 1,1060,IA,345,PQ,1.02952,355.185,25.56,,1060,,,,,0,0,2,1,Blue Mountain,Logan County,Arkansas,41.56,-94.69
120983,Eclipse Wind Farm 2,1060,IA,161,PQ,1.02984,165.804,25.09,,1060,,,,,0,0,2,1,Blue Mountain,Tippah County,Mississippi,41.56,-94.69
120984,Eclipse Wind Farm 3,1060,IA,69,PQ,1.02301,70.588,27.43,,1060,,,,,0,0,2,1,Blue Rapids,Marshall County,Kansas,41.56,-94.69
120985,Eclipse Wind Farm 4,1060,IA,13.8,PQ,1.02012,14.078,28.66,,1060,,,,,0,0,2,1,Blue Springs,Jackson County,Missouri,41.56,-94.69
120986,Eclipse Wind Farm 5,1060,IA,1,PQ,1.02012,1.02,28.66,,1060,,,,,0,0,2,1,Blue Springs,Jackson County,Missouri,41.56,-94.69
120987,Eclipse Wind Farm 6,1060,IA,22,PV,1.02,22.44,27.1,,1060,,120.06,-41.83,,0,0,2,1,Blue Springs,Jackson County,Missouri,41.56,-94.69
120988,Vienna Wind Farm 1,1061,IA,69,PQ,1.02453,70.693,2.08,,1061,,,,,0,0,2,1,Blue Springs,Jackson County,Missouri,42.16,-92.78
120989,Vienna Wind Farm 2,1061,IA,22,PV,1.02,22.44,3.16,,1061,,26.76,-7.37,,0,0,2,1,Blue Springs,Jackson County,Missouri,42.16,-92.78
120990,Vienna Wind Farm 3,1061,IA,18,PV,1.02,18.36,4.03,,1061,,63.36,-10.32,,0,0,2,1,Bluegrass,Morton County,North Dakota,42.16,-92.78
120991,Morning Light Wind Farm 1,1062,IA,69,PQ,1.02719,70.876,28.46,,1062,,,,,0,0,2,1,Bluegrass,Morton County,North Dakota,41.45,-94.58
120992,Morning Light Wind Farm 2,1062,IA,22,PV,1.02,22.44,30.63,,1062,,80.96,-17.16,,0,0,2,1,Bluegrass,Morton County,North Dakota,41.45,-94.58
120993,Roquette America 1,1063,IA,69,PQ,1.022,70.518,-21.56,,1063,,,,,0,0,2,1,Bluegrass,Morton County,North Dakota,40.39,-91.39
120994,Roquette America 2,1063,IA,20,PV,1.02,20.4,-21.37,,1063,,11.04,-7.21,,0,0,2,1,Bluegrass,Morton County,North Dakota,40.39,-91.39
120995,Roquette America 3,1063,IA,18,PV,1.02,18.36,-21.21,,1063,,8.6,-3.25,,0,0,2,1,Bluegrass,Morton County,North Dakota,40.39,-91.39
120996,Pocahontas Prairie Wind Farm 1,1064,IA,69,PQ,1.02169,70.496,21.57,,1064,,,,,0,0,2,1,Bluegrass,Morton County,North Dakota,42.57,-94.66
120997,Pocahontas Prairie Wind Farm 2,1064,IA,13.8,PV,1.02,14.076,22.99,,1064,,48,-5.38,,0,0,2,1,Bluegrass,Morton County,North Dakota,42.57,-94.66
120998,Buffalo Center Wind LLC 1,1065,IA,69,PQ,1.01086,69.749,-6.37,,1065,,,,,0,0,2,1,Bluegrass,Morton County,North Dakota,43.39,-92.76
120999,Buffalo Center Wind LLC 2,1065,IA,13.8,PQ,1.00919,13.927,-6.26,,1065,,0.9,-0.9,,0,0,2,1,Bluegrass,Morton County,North Dakota,43.39,-92.76
121000,Anchor Wind  LLC 1,1066,IA,69,PQ,1.01362,69.94,-28.63,,1066,,,,,0,0,2,1,Bluejacket,Craig County,Oklahoma,41.85,-91.23
121001,Anchor Wind  LLC 2,1066,IA,13.8,PQ (Gens at Var Limit),1.0199,14.075,-28.43,,1066,,3.6,6,,0,0,2,1,Bluejacket,Craig County,Oklahoma,41.85,-91.23
121002,Windwalkers LLC 1,1067,IA,69,PQ,1.01474,70.017,10.63,,1067,,,,,0,0,2,1,Bluff Point,Jay County,Indiana,43.39,-93.22
121003,Windwalkers LLC 2,1067,IA,13.8,PQ (Gens at Var Limit),1.01716,14.037,10.7,,1067,,0.96,1.6,,0,0,2,1,Bluff Springs,Cass County,Illinois,43.39,-93.22
121004,Roeder Family Wind Farm LLC 1,1068,IA,69,PQ,1.01677,70.157,11.52,,1068,,,,,0,0,2,1,Bluffton,Wells County,Indiana,43.3,-93.28
121005,Roeder Family Wind Farm LLC 2,1068,IA,13.8,PQ (Gens at Var Limit),1.01857,14.056,11.58,,1068,,0.96,1.6,,0,0,2,1,Bluffton,Wells County,Indiana,43.3,-93.28
121006,Otter Creek Ethanol Poet - Ashton 1,1069,IA,69,PQ,1.00332,69.229,30.09,,1069,,,,,0,0,2,1,Bluffton,Wells County,Indiana,43.28,-95.81
121007,Otter Creek Ethanol Poet - Ashton 2,1069,IA,13.8,PQ (Gens at Var Limit),1.00617,13.885,30.2,,1069,,2.52,3.15,,0,0,2,1,Bluffton,Wells County,Indiana,43.28,-95.81
121008,Marshalltown Generating Station 1,1070,IA,345,PQ,1.02072,352.149,5.73,,1070,,,,,0,0,2,1,Bluffview,Sauk County,Wisconsin,42.04,-92.87
121009,Marshalltown Generating Station 2,1070,IA,161,PQ,1.02153,164.466,4.53,,1070,,,,,0,0,2,1,Bluffview,Sauk County,Wisconsin,42.04,-92.87
121010,Marshalltown Generating Station 3,1070,IA,69,PQ,1.02217,70.53,2.3,,1070,,,,,0,0,2,1,Bluford,Jefferson County,Illinois,42.04,-92.87
121011,Marshalltown Generating Station 4,1070,IA,18,PV,1.02,18.36,7.2,,1070,,100.99,-3.4,,0,0,2,1,Bob Acres,Iberia Parish,Louisiana,42.04,-92.87
121012,Marshalltown Generating Station 5,1070,IA,18,PV,1.02,18.36,6.26,,1070,,31.4,-3.01,,0,0,2,1,Bobo,Coahoma County,Mississippi,42.04,-92.87
121013,Marshalltown Generating Station 6,1070,IA,24,PV,1.02,24.48,6.94,,1070,,128.04,-5.07,,0,0,2,1,Bobo,Coahoma County,Mississippi,42.04,-92.87
121014,NCAH Central Utility Plant 1,1071,IA,69,PQ,1.02039,70.407,5.54,,1071,,,,,0,0,2,1,Bobtown,Menard County,Illinois,42.05,-93.58
121015,NCAH Central Utility Plant 2,1071,IA,13.8,PV,1.02,14.076,5.57,,1071,,0.32,-0.29,,0,0,2,1,Bodcaw,Nevada County,Arkansas,42.05,-93.58
121016,NCAH Central Utility Plant 3,1071,IA,13.8,PV,1.02,14.076,5.59,,1071,,0.15,-0.08,,0,0,2,1,Bodcaw,Nevada County,Arkansas,42.05,-93.58
121017,NCAH Central Utility Plant 4,1071,IA,22,PV,1.02,22.44,5.59,,1071,,0.96,-0.51,,0,0,2,1,Bodcaw,Nevada County,Arkansas,42.05,-93.58
121018,NCAH Central Utility Plant 5,1071,IA,13.8,PV,1.02,14.076,5.59,,1071,,1.39,-0.66,,0,0,2,1,Bodcaw,Nevada County,Arkansas,42.05,-93.58
121019,NCAH Central Utility Plant 6,1071,IA,13.8,PV,1.02,14.076,5.6,,1071,,1.07,-0.48,,0,0,2,1,Bodcaw,Nevada County,Arkansas,42.05,-93.58
121020,NCAH Central Utility Plant 7,1071,IA,13.8,PV,1.02,14.076,5.6,,1071,,0.59,-0.26,,0,0,2,1,Bogalusa,Washington Parish,Louisiana,42.05,-93.58
121021,Luther College Wind Project 1,1072,IA,69,PQ,0.99325,68.534,-26.7,,1072,,,,,0,0,2,1,Bogalusa,Washington Parish,Louisiana,43.33,-91.81
121022,Luther College Wind Project 2,1072,IA,13.8,PQ,0.99203,13.69,-26.63,,1072,,0.96,-0.96,,0,0,2,1,Bogalusa,Washington Parish,Louisiana,43.33,-91.81
121023,NLMU Wind 1,1073,IA,69,PQ,1.00103,69.071,-28.4,,1073,,,,,0,0,2,1,Bogalusa,Washington Parish,Louisiana,40.96,-91.39
121024,NLMU Wind 2,1073,IA,13.8,PV,1.02,14.076,-28.34,,1073,,0.9,0.32,8.7,0,0,2,1,Bogalusa,Washington Parish,Louisiana,40.96,-91.39
121025,Junction Hilltop Wind Farm 1,1074,IA,69,PQ,1.01971,70.36,17.23,,1074,,,,,0,0,2,1,Bogalusa,Washington Parish,Louisiana,42.1,-94.27
121026,Junction Hilltop Wind Farm 2,1074,IA,13.8,PV,1.02,14.076,17.46,,1074,,4.8,0.1,,0,0,2,1,Bogalusa,Washington Parish,Louisiana,42.1,-94.27
121027,Cumberland Rose 1,1075,IA,69,PQ,1.02226,70.536,21.5,,1075,,,,,0,0,2,1,Bogalusa,Washington Parish,Louisiana,41.23,-94.44
121028,Cumberland Rose 2,1075,IA,13.8,PQ (Gens at Var Limit),1.02104,14.09,21.58,,1075,,0.96,-0.96,,0,0,2,1,Boggstown,Johnson County,Indiana,41.23,-94.44
121029,Fontanelle 1,1076,IA,69,PQ,1.01963,70.354,25.1,,1076,,,,,0,0,2,1,Bogota,Jasper County,Illinois,41.34,-94.57
121030,Fontanelle 2,1076,IA,13.8,PV,1.02,14.076,25.16,,1076,,0.96,0.28,,0,0,2,1,Bogota,Jasper County,Illinois,41.34,-94.57
121031,Greenfield Wind 1,1077,IA,69,PQ,1.02121,70.463,22.92,,1077,,,,,0,0,2,1,Bogota,Jasper County,Illinois,41.29,-94.49
121032,Greenfield Wind 2,1077,IA,13.8,PQ (Gens at Var Limit),1.02044,14.082,22.97,,1077,,0.96,-0.96,,0,0,2,1,Bogota,Jasper County,Illinois,41.29,-94.49
121033,Meadow Ridge 1,1078,IA,69,PQ,1.0204,70.407,21.11,,1078,,,,,0,0,2,1,Bogue Chitto,Lincoln County,Mississippi,41.39,-94.45
121034,Meadow Ridge 2,1078,IA,13.8,PV,1.02,14.076,21.2,,1078,,0.96,-0.3,,0,0,2,1,Bogue Chitto,Lincoln County,Mississippi,41.39,-94.45
121035,Sky Volt 1,1079,IA,69,PQ,1.02113,70.458,22.94,,1079,,,,,0,0,2,1,Bogue Chitto,Lincoln County,Mississippi,41.29,-94.49
121036,Sky Volt 2,1079,IA,13.8,PQ (Gens at Var Limit),1.02021,14.079,22.99,,1079,,0.96,-0.96,,0,0,2,1,Boise City,Cimarron County,Oklahoma,41.29,-94.49
121037,Wiota 1,1080,IA,69,PQ,1.02031,70.401,26.65,,1080,,,,,0,0,2,1,Boise City,Cimarron County,Oklahoma,41.39,-94.88
121038,Wiota 2,1080,IA,13.8,PV,1.02,14.076,26.75,,1080,,0.96,-0.22,,0,0,2,1,Boise City,Cimarron County,Oklahoma,41.39,-94.88
121039,Highland Wind Project (IA) 1,1081,IA,345,PQ,1.02102,352.253,31.11,,1081,,,,,0,0,2,1,Bokchito,Bryan County,Oklahoma,43.08,-95.66
121040,Highland Wind Project (IA) 2,1081,IA,161,PQ,1.02242,164.61,30.42,,1081,,,,,0,0,2,1,Bokoshe,Le Flore County,Oklahoma,43.08,-95.66
121041,Highland Wind Project (IA) 3,1081,IA,69,PQ,1.01534,70.058,31.16,,1081,,,,,0,0,2,1,Bokoshe,Le Flore County,Oklahoma,43.08,-95.66
121042,Highland Wind Project (IA) 4,1081,IA,18,PV,1.02,18.36,32.27,,1081,,70.32,-4.1,,0,0,2,1,Bolan,Worth County,Iowa,43.08,-95.66
121043,Highland Wind Project (IA) 5,1081,IA,18,PV,1.02,18.36,31.98,,1081,,53.46,-4.22,,0,0,2,1,Bolan,Worth County,Iowa,43.08,-95.66
121044,Highland Wind Project (IA) 6,1081,IA,18,PV,1.02,18.36,32.55,,1081,,71.36,-3.19,,0,0,2,1,Bolan,Worth County,Iowa,43.08,-95.66
121045,Highland Wind Project (IA) 7,1081,IA,13.8,PV,1.02,14.076,31.6,,1081,,69,-8.82,,0,0,2,1,Boley,Okfuskee County,Oklahoma,43.08,-95.66
121046,Highland Wind Project (IA) 8,1081,IA,13.8,PV,1.02,14.076,32.02,,1081,,52.08,-3.73,,0,0,2,1,Bolingbrook,Will County,Illinois,43.08,-95.66
121047,Highland Wind Project (IA) 9,1081,IA,13.8,PV,1.02,14.076,31.18,,1081,,2.82,-2.66,,0,0,2,1,Bolingbrook,Will County,Illinois,43.08,-95.66
121048,Lundgren Wind Project 1,1082,IA,345,PQ,1.02151,352.422,16.56,,1082,,,,0,0,0,2,1,Bolingbrook,Will County,Illinois,42.34,-94.17
121049,Lundgren Wind Project 2,1082,IA,161,PQ,1.02079,164.348,15.84,,1082,,,,,0,0,2,1,Bolingbrook,Will County,Illinois,42.34,-94.17
121050,Lundgren Wind Project 3,1082,IA,69,PQ,1.02053,70.416,14.82,,1082,,,,,0,0,2,1,Bolingbrook,Will County,Illinois,42.34,-94.17
121051,Lundgren Wind Project 4,1082,IA,13.8,PV,1.02,14.076,17.88,,1082,,150.6,-10.63,,0,0,2,1,Bolingbrook,Will County,Illinois,42.34,-94.17
121052,Macksburg Wind Project 1,1083,IA,69,PQ,1.02459,70.697,12.12,,1083,,,,,0,0,2,1,Bolingbrook,Will County,Illinois,41.21,-94.1
121053,Macksburg Wind Project 2,1083,IA,13.8,PV,1.02,14.076,14.38,,1083,,71.76,-9.96,,0,0,2,1,Bolingbrook,Will County,Illinois,41.21,-94.1
121054,Wellsburg Wind Project 1,1084,IA,345,PQ,1.01619,350.586,3.03,,1084,,,,0,0,0,2,1,Bolivar,Polk County,Missouri,42.39,-92.97
121055,Wellsburg Wind Project 2,1084,IA,161,PQ,1.01593,163.565,2.7,,1084,,,,,0,0,2,1,Bolivar,Polk County,Missouri,42.39,-92.97
121056,Wellsburg Wind Project 3,1084,IA,69,PQ,1.01785,70.232,1.78,,1084,,,,,0,0,2,1,Bolivar,Polk County,Missouri,42.39,-92.97
121057,Wellsburg Wind Project 4,1084,IA,13.8,PV,1.02,14.076,4.65,,1084,,84.48,10.52,,0,0,2,1,Bolivar,Polk County,Missouri,42.39,-92.97
121058,Story City Wind Project 1,1085,IA,69,PQ,1.01797,70.24,5.2,,1085,,,,,0,0,2,1,Bolivar,Polk County,Missouri,42.21,-93.6
121059,Story City Wind Project 2,1085,IA,13.8,PV,1.02,14.076,5.29,,1085,,1.2,1.39,,0,0,2,1,Bolivar,Polk County,Missouri,42.21,-93.6
121060,Traer Wind Project 1,1086,IA,69,PQ,1.01489,70.028,-10.36,,1086,,,,8.12,0,0,2,1,Bolton,Hinds County,Mississippi,42.16,-92.44
121061,Traer Wind Project 2,1086,IA,18,PQ (Gens at Var Limit),1.01687,18.304,-10.3,,1086,,0.9,1.5,,0,0,2,1,Bon Wier,Newton County,Texas,42.16,-92.44
121062,Michelangelo Wind 3 LLC 1,1087,IA,69,PQ,1.02091,70.443,6.11,,1087,,,,,0,0,2,1,Bona,Dade County,Missouri,42.02,-93.51
121063,Michelangelo Wind 3 LLC 2,1087,IA,13.8,PV,1.02,14.076,6.21,,1087,,2.4,-1.43,,0,0,2,1,Bond,Allen Parish,Louisiana,42.02,-93.51
121064,Carroll Area Wind Farm 1,1088,IA,69,PQ,1.01583,70.092,24.41,,1088,,,,,0,0,2,1,Bonduel,Shawano County,Wisconsin,41.94,-94.89
121065,Carroll Area Wind Farm 2,1088,IA,13.8,PV,1.02,14.076,24.76,,1088,,12.42,7.56,,0,0,2,1,Bonfield,Kankakee County,Illinois,41.94,-94.89
121066,AgriReNew 1,1089,IA,69,PQ,1.0163,70.125,-29.97,,1089,,,,0,0,0,2,1,Bonita,Morehouse Parish,Louisiana,41.69,-90.87
121067,AgriReNew 2,1089,IA,18,PQ (Gens at Var Limit),1.01811,18.326,-29.92,,1089,,0.31,0.55,,0,0,2,1,Bonita,Morehouse Parish,Louisiana,41.69,-90.87
121068,Optimum Wind 5 LLC 1,1090,IA,69,PQ,1.02077,70.433,6.06,,1090,,,,,0,0,2,1,Bonne Terre,St. Francois County,Missouri,42.01,-93.52
121069,Optimum Wind 5 LLC 2,1090,IA,13.8,PV,1.02,14.076,6.17,,1090,,1.8,-0.81,,0,0,2,1,Bonne Terre,St. Francois County,Missouri,42.01,-93.52
121070,Optimum Wind 6 LLC 1,1091,IA,69,PQ,1.02076,70.433,6.03,,1091,,,,,0,0,2,1,Bonner,Morrill County,Nebraska,42.01,-93.52
121071,Optimum Wind 6 LLC 2,1091,IA,13.2,PV,1.02,13.464,6.17,,1091,,1.8,-0.61,,0,0,2,1,Bonner,Morrill County,Nebraska,42.01,-93.52
121072,Optimum Wind 7 LLC 1,1092,IA,69,PQ,1.02227,70.536,6.21,,1092,,,,,0,0,2,1,Bonner Springs,Leavenworth County,Kansas,42.03,-93.43
121073,Optimum Wind 7 LLC 2,1092,IA,18,PQ (Gens at Var Limit),1.02079,18.374,6.3,,1092,,1.8,-1.8,,0,0,2,1,Bonnerdale,Hot Spring County,Arkansas,42.03,-93.43
121074,Optimum Wind 4 LLC 1,1093,IA,69,PQ,1.02088,70.441,6.1,,1093,,,,,0,0,2,1,Bono,Craighead County,Arkansas,42.02,-93.52
121075,Optimum Wind 4 LLC 2,1093,IA,22,PV,1.02,22.44,6.18,,1093,,1.8,-1.2,,0,0,2,1,Bono,Vermillion County,Indiana,42.02,-93.52
121076,Optimum Wind 3 LLC 1,1094,IA,69,PQ,1.02092,70.443,6.12,,1094,,,,,0,0,2,1,Bono,Vermillion County,Indiana,42.02,-93.51
121077,Optimum Wind 3 LLC 2,1094,IA,20,PV,1.02,20.4,6.24,,1094,,1.8,-0.83,,0,0,2,1,Boody,Macon County,Illinois,42.02,-93.51
121078,Leonardo Wind 1 LLC 1,1095,IA,69,PQ,1.02003,70.382,6.88,,1095,,,,,0,0,2,1,Boone,Caddo County,Oklahoma,42.5,-93.37
121079,Leonardo Wind 1 LLC 2,1095,IA,18,PV,1.02,18.36,6.96,,1095,,1.8,-0.12,,0,0,2,1,Boone,Caddo County,Oklahoma,42.5,-93.37
121080,Venus Wind 3 LLC 1,1096,IA,69,PQ,1.00212,69.146,1.65,,1096,,,,,0,0,2,1,Boone Grove,Porter County,Indiana,41.74,-92.67
121081,Venus Wind 3 LLC 2,1096,IA,13.8,PQ (Gens at Var Limit),1.00534,13.874,1.74,,1096,,1.8,3,,0,0,2,1,Booneville,Logan County,Arkansas,41.74,-92.67
