Gen
Number of Bus,Name of Bus,ID,Area Name of Gen,AGC,Fast Start,OPF Fast Start Status,OPF MW Control,Gen MW,Cost Shift $/MWh,Cost Multiplier,Cost $/Hr (generation only),MW Marg. Cost of Bus,IC for OPF,Initial MW,Initial Cost,Delta MW,Delta Cost,Min MW,Max MW,Cost Model,# Cost Curve Points,Fuel Type,Profit $/hr
133558,Grand Ridge Solar Farm 4,1,IL,YES,NO,,If Agcable,0.0,0.000,1.000,0.00,-1.66,0.00,0.0,0.00,0.0,0.00,0.0,20.0,Piecewise Linear,5,SUN (Solar),0.00
133562,Shady Oaks Wind Farm 4,1,IL,YES,NO,,If Agcable,65.7,0.000,1.000,-1253.34,-1.56,0.22,65.7,-1253.34,0.0,0.00,0.0,109.5,Piecewise Linear,5,WND (Wind),1151.09
133566,Adkins Energy LLC 4,1,IL,YES,NO,,If Agcable,2.5,0.000,1.000,199.89,-1.54,77.43,2.5,199.89,0.0,-0.00,2.5,5.0,Piecewise Linear,5,NG (Natural Gas),-203.74
133566,Adkins Energy LLC 4,2,IL,YES,NO,,If Agcable,0.7,0.000,1.000,25.98,-1.54,33.16,0.7,25.98,0.0,0.00,0.7,1.8,Piecewise Linear,5,NG (Natural Gas),-27.12
133568,Kishwaukee CHP Plant 2,1,IL,YES,NO,,If Agcable,0.3,0.000,1.000,9.44,-1.57,27.76,0.3,9.44,0.0,0.00,0.3,1.0,Piecewise Linear,5,OBG (Other Biomass Gas),-9.97
133568,Kishwaukee CHP Plant 2,2,IL,YES,NO,,If Agcable,0.4,0.000,1.000,10.83,-1.57,27.77,0.4,10.83,0.0,-0.00,0.4,1.0,Piecewise Linear,5,OBG (Other Biomass Gas),-11.44
133569,Kishwaukee CHP Plant 3,1,IL,YES,NO,,If Agcable,0.3,0.000,1.000,7.49,-1.57,27.75,0.3,7.49,0.0,-0.00,0.3,1.0,Piecewise Linear,5,OBG (Other Biomass Gas),-7.92
133571,Loyola University Health Plant 2,1,IL,YES,NO,,If Agcable,2.0,0.000,1.000,171.34,-1.76,80.71,2.0,171.34,0.0,-0.00,2.0,5.3,Piecewise Linear,5,NG (Natural Gas),-174.93
133572,Loyola University Health Plant 3,1,IL,YES,NO,,If Agcable,0.9,0.000,1.000,57.31,-1.76,56.24,0.9,57.31,0.0,-0.00,0.9,5.3,Piecewise Linear,5,NG (Natural Gas),-58.89
133574,Northeastern Illinois University Cogen 2,1,IL,YES,NO,,If Agcable,0.3,0.000,1.000,19.80,-1.77,67.10,0.3,19.80,0.0,0.00,0.3,0.8,Piecewise Linear,5,NG (Natural Gas),-20.29
133574,Northeastern Illinois University Cogen 2,2,IL,YES,NO,,If Agcable,0.2,0.000,1.000,11.51,-1.77,65.60,0.2,11.51,0.0,0.00,0.2,0.8,Piecewise Linear,5,NG (Natural Gas),-11.79
133575,Northeastern Illinois University Cogen 3,1,IL,YES,NO,,If Agcable,0.3,0.000,1.000,20.24,-1.77,71.22,0.3,20.24,0.0,0.00,0.3,0.8,Piecewise Linear,5,NG (Natural Gas),-20.72
133575,Northeastern Illinois University Cogen 3,2,IL,YES,NO,,If Agcable,0.2,0.000,1.000,14.26,-1.77,73.59,0.2,14.26,0.0,0.00,0.2,0.8,Piecewise Linear,5,NG (Natural Gas),-14.58
133577,North Chicago Energy Center 2,1,IL,YES,NO,,If Agcable,1.6,0.000,1.000,107.59,-1.68,64.35,1.6,107.59,0.0,0.00,1.6,5.2,Piecewise Linear,5,NG (Natural Gas),-110.22
133577,North Chicago Energy Center 2,2,IL,YES,NO,,If Agcable,3.2,0.000,1.000,256.68,-1.68,77.13,3.2,256.68,0.0,0.00,3.2,7.2,Piecewise Linear,5,NG (Natural Gas),-262.06
133579,Triton East and West Cogen 2,1,IL,YES,NO,,If Agcable,0.4,0.000,1.000,31.72,-1.78,87.73,0.4,31.72,0.0,0.00,0.4,0.8,Piecewise Linear,5,NG (Natural Gas),-32.34
133579,Triton East and West Cogen 2,2,IL,YES,NO,,If Agcable,0.4,0.000,1.000,29.05,-1.78,80.11,0.4,29.05,0.0,-0.00,0.4,0.8,Piecewise Linear,5,NG (Natural Gas),-29.67
133580,Triton East and West Cogen 3,1,IL,YES,NO,,If Agcable,0.1,0.000,1.000,7.23,-1.78,56.53,0.1,7.23,0.0,0.00,0.1,0.8,Piecewise Linear,5,NG (Natural Gas),-7.42
133580,Triton East and West Cogen 3,2,IL,YES,NO,,If Agcable,0.2,0.000,1.000,14.72,-1.78,62.31,0.2,14.72,0.0,-0.00,0.2,0.8,Piecewise Linear,5,NG (Natural Gas),-15.11
133581,Triton East and West Cogen 4,1,IL,YES,NO,,If Agcable,0.2,0.000,1.000,16.54,-1.77,84.43,0.2,16.54,0.0,0.00,0.2,0.4,Piecewise Linear,5,NG (Natural Gas),-16.88
133583,Rochelle Energy Center 2,1,IL,YES,NO,,If Agcable,0.4,0.000,1.000,10.56,-1.58,30.17,0.4,10.56,0.0,-0.00,0.4,1.6,Piecewise Linear,5,LFG (Landfill Gas),-11.11
133584,Rochelle Energy Center 3,1,IL,YES,NO,,If Agcable,0.6,0.000,1.000,17.36,-1.58,31.00,0.6,17.36,0.0,0.00,0.6,1.6,Piecewise Linear,5,LFG (Landfill Gas),-18.25
133584,Rochelle Energy Center 3,2,IL,YES,NO,,If Agcable,0.3,0.000,1.000,10.34,-1.58,30.40,0.3,10.34,0.0,-0.00,0.3,1.6,Piecewise Linear,5,LFG (Landfill Gas),-10.87
133586,Museum of Science and Industry 2,1,IL,YES,NO,,If Agcable,0.3,0.000,1.000,19.65,-1.78,62.49,0.3,19.65,0.0,0.00,0.3,1.7,Piecewise Linear,5,NG (Natural Gas),-20.15
133588,Rockford Solar Farm 2,1,IL,YES,NO,,If Agcable,0.0,0.000,1.000,0.00,-1.57,0.00,0.0,0.00,0.0,0.00,0.0,2.6,Piecewise Linear,5,SUN (Solar),0.00
133592,Walnut Ridge Wind Farm 4,1,IL,YES,NO,,If Agcable,127.2,0.000,1.000,-2485.91,-1.53,0.72,127.2,-2485.82,0.0,-0.09,0.0,212.0,Piecewise Linear,5,WND (Wind),2291.34
133594,MTHS Co-Gen Buildings 2,1,IL,YES,NO,,If Agcable,0.2,0.000,1.000,11.18,-1.73,65.15,0.2,11.18,0.0,0.00,0.2,0.6,Piecewise Linear,5,NG (Natural Gas),-11.46
133594,MTHS Co-Gen Buildings 2,2,IL,YES,NO,,If Agcable,0.2,0.000,1.000,12.53,-1.73,69.26,0.2,12.53,0.0,-0.00,0.2,0.6,Piecewise Linear,5,NG (Natural Gas),-12.83
133596,Com Adam 1WF-1 2,1,IL,YES,NO,,If Agcable,1.5,0.000,1.000,-29.62,-1.55,0.24,1.5,-29.63,0.0,0.00,0.0,2.5,Piecewise Linear,5,WND (Wind),27.30
133596,Com Adam 1WF-1 2,2,IL,YES,NO,,If Agcable,1.5,0.000,1.000,-29.43,-1.55,-0.99,1.5,-29.43,0.0,0.00,0.0,2.5,Piecewise Linear,5,WND (Wind),27.11
133600,Pilot Hill Wind Farm 4,1,IL,YES,NO,,If Agcable,0.0,0.000,1.000,0.00,-1.69,0.00,0.0,0.00,0.0,0.00,0.0,175.0,Piecewise Linear,5,WND (Wind),0.00
133604,Radfords Run Wind Farm 4,1,IL,YES,NO,,If Agcable,0.0,0.000,1.000,0.00,-1.54,0.00,0.0,0.00,0.0,0.00,0.0,278.0,Piecewise Linear,5,WND (Wind),0.00
133608,Orchard Hills Renewable Energy Station 4,1,IL,YES,NO,,If Agcable,0.4,0.000,1.000,13.37,-1.57,32.60,0.4,13.37,0.0,0.00,0.4,2.7,Piecewise Linear,5,LFG (Landfill Gas),-14.01
133609,Orchard Hills Renewable Energy Station 5,1,IL,YES,NO,,If Agcable,1.0,0.000,1.000,28.07,-1.57,28.94,1.0,28.07,0.0,-0.00,1.0,2.7,Piecewise Linear,5,LFG (Landfill Gas),-29.59
133609,Orchard Hills Renewable Energy Station 5,2,IL,YES,NO,,If Agcable,0.3,0.000,1.000,8.35,-1.57,29.81,0.3,8.35,0.0,-0.00,0.3,2.7,Piecewise Linear,5,LFG (Landfill Gas),-8.79
133610,Orchard Hills Renewable Energy Station 6,1,IL,YES,NO,,If Agcable,1.0,0.000,1.000,31.59,-1.57,30.67,1.0,31.59,0.0,-0.00,1.0,2.7,Piecewise Linear,5,LFG (Landfill Gas),-33.21
133610,Orchard Hills Renewable Energy Station 6,2,IL,YES,NO,,If Agcable,0.4,0.000,1.000,12.41,-1.57,30.28,0.4,12.41,0.0,-0.00,0.4,2.7,Piecewise Linear,5,LFG (Landfill Gas),-13.06
133611,Orchard Hills Renewable Energy Station 7,1,IL,YES,NO,,If Agcable,0.7,0.000,1.000,20.57,-1.57,29.39,0.7,20.57,0.0,0.00,0.7,2.7,Piecewise Linear,5,LFG (Landfill Gas),-21.67
133613,Chicago West Side Energy Center 2,1,IL,YES,NO,,If Agcable,0.6,0.000,1.000,41.22,-1.80,64.57,0.6,41.22,0.0,0.00,0.6,3.5,Piecewise Linear,5,NG (Natural Gas),-42.25
133615,Northwest Community Hospital 2,1,IL,YES,NO,,If Agcable,0.4,0.000,1.000,26.76,-1.70,70.46,0.4,26.76,0.0,-0.00,0.4,1.1,Piecewise Linear,5,NG (Natural Gas),-27.37
133616,Northwest Community Hospital 3,1,IL,YES,NO,,If Agcable,0.5,0.000,1.000,50.03,-1.70,91.78,0.5,50.03,0.0,0.00,0.5,1.1,Piecewise Linear,5,NG (Natural Gas),-50.93
133617,Northwest Community Hospital 4,1,IL,YES,NO,,If Agcable,0.5,0.000,1.000,36.60,-1.70,76.54,0.5,36.60,0.0,0.00,0.5,1.1,Piecewise Linear,5,NG (Natural Gas),-37.38
133617,Northwest Community Hospital 4,2,IL,YES,NO,,If Agcable,0.2,0.000,1.000,13.92,-1.70,59.66,0.2,13.92,0.0,0.00,0.2,1.1,Piecewise Linear,5,NG (Natural Gas),-14.27
133621,Grand Ridge Battery Projects 4,1,IL,YES,NO,,If Agcable,0.5,0.000,1.000,2.59,-1.57,5.29,0.5,2.59,0.0,0.00,0.5,1.5,Piecewise Linear,5,MWH (Electricity use for Energy Storage),-3.36
133621,Grand Ridge Battery Projects 4,2,IL,YES,NO,,If Agcable,8.0,0.000,1.000,42.53,-1.57,5.29,8.0,42.53,0.0,0.00,8.0,31.5,Piecewise Linear,5,MWH (Electricity use for Energy Storage),-55.15
133623,Elwood Energy Storage Center 2,1,IL,YES,NO,,If Agcable,6.0,0.000,1.000,31.63,-1.64,5.29,6.0,31.63,0.0,0.00,6.0,19.8,Piecewise Linear,5,MWH (Electricity use for Energy Storage),-41.44
133625,Jake Energy Storage Center 2,1,IL,YES,NO,,If Agcable,4.0,0.000,1.000,21.21,-1.59,5.29,4.0,21.21,0.0,0.00,4.0,19.8,Piecewise Linear,5,MWH (Electricity use for Energy Storage),-27.59
133629,Green River Wind Farm 4,1,IL,YES,NO,,If Agcable,116.6,0.000,1.000,-2216.19,-1.53,0.95,116.6,-2216.08,0.0,-0.11,0.0,194.3,Piecewise Linear,5,WND (Wind),2037.59
133633,Kelly Creek Wind Project 4,1,IL,YES,NO,,If Agcable,110.4,0.000,1.000,-2122.62,-1.69,0.33,110.4,-2122.53,0.0,-0.09,0.0,184.0,Piecewise Linear,5,WND (Wind),1935.96
133635,McHenry Battery Storage 2,1,IL,YES,NO,,If Agcable,3.3,0.000,1.000,17.67,-1.64,5.29,3.3,17.67,0.0,-0.00,3.3,19.8,Piecewise Linear,5,MWH (Electricity use for Energy Storage),-23.16
133637,Argonne National Laboratory CHP 2,1,IL,YES,NO,,If Agcable,1.0,0.000,1.000,68.16,-1.73,57.34,1.0,68.16,0.0,0.00,1.0,6.3,Piecewise Linear,5,NG (Natural Gas),-69.98
133639,Lake Forest Hospital 2,1,IL,YES,NO,,If Agcable,0.9,0.000,1.000,66.03,-1.67,65.25,0.9,66.03,0.0,0.00,0.9,3.2,Piecewise Linear,5,NG (Natural Gas),-67.62
133641,IKEA Joliet Rooftop PV System 2,1,IL,YES,NO,,If Agcable,0.0,0.000,1.000,0.00,-1.61,0.00,0.0,0.00,0.0,0.00,0.0,2.0,Piecewise Linear,5,SUN (Solar),0.00
133645,Hilltopper Wind Project 4,1,IL,YES,NO,,If Agcable,111.0,0.000,1.000,-2292.15,-1.54,-0.80,111.0,-2292.04,0.0,-0.11,0.0,185.0,Piecewise Linear,5,WND (Wind),2121.11
133649,Marengo Battery Storage LLC 4,1,IL,YES,NO,,If Agcable,3.8,0.000,1.000,19.89,-1.61,5.29,3.8,19.89,0.0,-0.00,3.8,20.0,Piecewise Linear,5,MWH (Electricity use for Energy Storage),-25.95
133651,Lineage Logistics Solar 2,1,IL,YES,NO,,If Agcable,0.0,0.000,1.000,0.00,-1.70,0.00,0.0,0.00,0.0,0.00,0.0,1.6,Piecewise Linear,5,SUN (Solar),0.00
133657,Joppa Steam 6,1,IL,YES,NO,,If Agcable,59.0,0.000,1.000,2102.96,-1.50,29.24,59.0,2102.96,0.0,0.00,59.0,183.3,Piecewise Linear,5,RC (Refined Coal),-2191.49
133658,Joppa Steam 7,1,IL,YES,NO,,If Agcable,75.1,0.000,1.000,3232.49,-1.50,37.99,75.1,3232.49,0.0,-0.00,75.1,183.3,Piecewise Linear,5,RC (Refined Coal),-3345.28
133659,Joppa Steam 8,1,IL,YES,NO,,If Agcable,83.9,0.000,1.000,3512.99,-1.50,37.38,83.9,3512.99,0.0,0.00,83.9,183.3,Piecewise Linear,5,RC (Refined Coal),-3638.87
133660,Joppa Steam 9,1,IL,YES,NO,,If Agcable,79.4,0.000,1.000,3218.97,-1.50,35.79,79.4,3218.97,0.0,-0.00,79.4,183.3,Piecewise Linear,5,RC (Refined Coal),-3338.10
133661,Joppa Steam 10,1,IL,YES,NO,,If Agcable,23.7,0.000,1.000,886.62,-1.50,21.45,23.7,886.62,0.0,-0.00,23.7,183.3,Piecewise Linear,5,RC (Refined Coal),-922.18
133662,Joppa Steam 11,1,IL,YES,NO,,If Agcable,74.1,0.000,1.000,2695.56,-1.50,31.25,74.1,2695.55,0.0,0.00,74.1,183.3,Piecewise Linear,5,RC (Refined Coal),-2806.89
133666,MEPI GT Facility 4,1,IL,YES,NO,,If Agcable,8.1,0.000,1.000,498.18,-1.50,51.71,8.1,498.18,0.0,0.00,8.1,64.5,Piecewise Linear,5,NG (Natural Gas),-510.29
133667,MEPI GT Facility 5,1,IL,YES,NO,,If Agcable,14.0,0.000,1.000,942.31,-1.50,61.67,14.0,942.31,0.0,0.00,14.0,64.5,Piecewise Linear,5,NG (Natural Gas),-963.28
133668,MEPI GT Facility 6,1,IL,YES,NO,,If Agcable,22.5,0.000,1.000,1594.51,-1.50,67.13,22.5,1594.51,0.0,0.00,22.5,64.5,Piecewise Linear,5,NG (Natural Gas),-1628.36
133669,MEPI GT Facility 7,1,IL,YES,NO,,If Agcable,19.0,0.000,1.000,1475.25,-1.50,73.98,19.0,1475.25,0.0,0.00,19.0,54.0,Piecewise Linear,5,NG (Natural Gas),-1503.82
133670,MEPI GT Facility 8,1,IL,YES,NO,,If Agcable,26.5,0.000,1.000,2113.85,-1.50,77.08,26.5,2113.85,0.0,-0.00,26.5,54.0,Piecewise Linear,5,NG (Natural Gas),-2153.71
141747,Harding Street 3,1,IN,YES,NO,,If Agcable,33.6,0.000,1.000,1925.16,-1.93,54.88,33.6,1925.16,0.0,-0.00,33.6,100.0,Piecewise Linear,5,NG (Natural Gas),-1989.98
141748,Harding Street 4,1,IN,YES,NO,,If Agcable,29.4,0.000,1.000,1687.22,-1.93,54.59,29.4,1687.22,0.0,0.00,29.4,100.0,Piecewise Linear,5,NG (Natural Gas),-1744.01
141749,Harding Street 5,1,IN,YES,NO,,If Agcable,138.3,0.000,1.000,7846.50,-1.93,54.05,138.3,7846.50,0.0,-0.00,138.3,463.0,Piecewise Linear,5,NG (Natural Gas),-8112.82
141750,Harding Street 6,1,IN,YES,NO,,If Agcable,2.9,0.000,1.000,15.08,-1.93,5.29,2.9,15.08,0.0,0.00,2.9,20.0,Piecewise Linear,5,MWH (Electricity use for Energy Storage),-20.58
141751,Harding Street 7,1,IN,YES,NO,,If Agcable,7.5,0.000,1.000,1474.39,-1.93,195.30,7.5,1474.39,0.0,-0.00,7.5,26.0,Piecewise Linear,5,DFO (Distillate Fuel Oil),-1488.86
141751,Harding Street 7,2,IN,YES,NO,,If Agcable,4.1,0.000,1.000,816.07,-1.93,196.69,4.1,816.07,0.0,0.00,4.1,26.0,Piecewise Linear,5,DFO (Distillate Fuel Oil),-823.98
141752,Harding Street 8,1,IN,YES,NO,,If Agcable,14.1,0.000,1.000,1602.91,-1.93,106.48,14.1,1602.91,0.0,0.00,14.1,83.0,Piecewise Linear,5,NG (Natural Gas),-1630.06
141753,Harding Street 9,1,IN,YES,NO,,If Agcable,37.7,0.000,1.000,5585.07,-1.93,145.56,37.7,5585.07,0.0,-0.00,37.7,83.0,Piecewise Linear,5,NG (Natural Gas),-5657.66
141754,Harding Street 10,1,IN,YES,NO,,If Agcable,17.4,0.000,1.000,1941.87,-1.93,99.81,17.4,1941.87,0.0,0.00,17.4,161.0,Piecewise Linear,5,NG (Natural Gas),-1975.48
141755,Harding Street 11,1,IN,YES,NO,,If Agcable,0.6,0.000,1.000,105.33,-1.93,183.03,0.6,105.33,0.0,-0.00,0.6,2.7,Piecewise Linear,5,DFO (Distillate Fuel Oil),-106.43
141759,Eagle Valley (IN) 4,1,IN,YES,NO,,If Agcable,51.6,0.000,1.000,10276.31,-1.83,197.04,51.6,10276.31,0.0,-0.00,51.6,207.0,Piecewise Linear,5,NG (Natural Gas),-10370.52
141760,Eagle Valley (IN) 5,1,IN,YES,NO,,If Agcable,52.5,0.000,1.000,10606.25,-1.83,199.72,52.5,10606.25,0.0,0.00,52.5,207.0,Piecewise Linear,5,NG (Natural Gas),-10702.20
141761,Eagle Valley (IN) 6,1,IN,YES,NO,,If Agcable,28.7,0.000,1.000,4104.10,-1.83,139.14,28.7,4104.10,0.0,-0.00,28.7,230.0,Piecewise Linear,5,NG (Natural Gas),-4156.49
141764,CC Perry K 3,1,IN,YES,NO,,If Agcable,5.2,0.000,1.000,168.92,-1.94,30.35,5.2,168.92,0.0,0.00,5.2,15.0,Piecewise Linear,5,NG (Natural Gas),-178.93
141764,CC Perry K 3,2,IN,YES,NO,,If Agcable,1.3,0.000,1.000,38.79,-1.94,27.61,1.3,38.79,0.0,-0.00,1.3,5.0,Piecewise Linear,5,NG (Natural Gas),-41.23
141765,CC Perry K 4,1,IN,YES,NO,,If Agcable,0.6,0.000,1.000,18.90,-1.94,27.41,0.6,18.90,0.0,0.00,0.6,1.7,Piecewise Linear,5,NG (Natural Gas),-20.14
141765,CC Perry K 4,2,IN,YES,NO,,If Agcable,0.7,0.000,1.000,21.74,-1.94,31.35,0.7,21.74,0.0,-0.00,0.7,1.7,Piecewise Linear,5,NG (Natural Gas),-23.00
141769,AES Petersburg 4,1,IN,YES,NO,,If Agcable,132.1,0.000,1.000,4713.10,-1.62,25.19,132.1,4713.10,0.0,-0.00,132.1,670.9,Piecewise Linear,5,BIT (Bituminous Coal),-4927.12
141770,AES Petersburg 5,1,IN,YES,NO,,If Agcable,0.6,0.000,1.000,119.36,-1.62,200.61,0.6,119.36,0.0,0.00,0.6,2.7,Piecewise Linear,5,DFO (Distillate Fuel Oil),-120.32
141770,AES Petersburg 5,2,IN,YES,NO,,If Agcable,1.1,0.000,1.000,231.51,-1.62,207.67,1.1,231.51,0.0,0.00,1.1,2.7,Piecewise Linear,5,DFO (Distillate Fuel Oil),-233.31
141771,AES Petersburg 6,1,IN,YES,NO,,If Agcable,0.4,0.000,1.000,76.32,-1.62,198.21,0.4,76.32,0.0,0.00,0.4,2.7,Piecewise Linear,5,DFO (Distillate Fuel Oil),-76.94
141771,AES Petersburg 6,2,IN,YES,NO,,If Agcable,94.6,0.000,1.000,3648.03,-1.62,32.42,94.6,3648.03,0.0,0.00,94.6,281.6,Piecewise Linear,5,BIT (Bituminous Coal),-3801.36
141772,AES Petersburg 7,1,IN,YES,NO,,If Agcable,168.7,0.000,1.000,6488.96,-1.62,32.06,168.7,6488.96,0.0,0.00,168.7,523.3,Piecewise Linear,5,BIT (Bituminous Coal),-6762.24
141773,AES Petersburg 8,1,IN,YES,NO,,If Agcable,268.8,0.000,1.000,11195.97,-1.62,36.49,268.8,11195.97,0.0,0.00,268.8,670.9,Piecewise Linear,5,BIT (Bituminous Coal),-11631.26
141775,Bailly 2,1,IN,YES,NO,,If Agcable,5.3,0.000,1.000,341.41,-1.76,55.91,5.3,341.41,0.0,0.00,5.3,37.5,Piecewise Linear,5,NG (Natural Gas),-350.69
141781,Michigan City 6,1,IN,YES,NO,,If Agcable,242.3,0.000,1.000,9650.09,-1.79,35.22,242.3,9650.09,0.0,0.00,242.3,540.0,Piecewise Linear,5,SUB (Subbituminous Coal),-10084.85
141783,Norway (IN) 2,1,IN,YES,NO,,If Agcable,0.8,0.000,1.000,4.08,-1.84,5.04,0.8,4.08,0.0,0.00,0.8,2.0,Piecewise Linear,5,WAT (Water),-5.57
141784,Norway (IN) 3,1,IN,YES,NO,,If Agcable,0.2,0.000,1.000,1.25,-1.84,5.01,0.2,1.25,0.0,0.00,0.2,2.0,Piecewise Linear,5,WAT (Water),-1.71
141785,Norway (IN) 4,1,IN,YES,NO,,If Agcable,0.8,0.000,1.000,4.07,-1.84,5.03,0.8,4.07,0.0,0.00,0.8,2.0,Piecewise Linear,5,WAT (Water),-5.56
141785,Norway (IN) 4,2,IN,YES,NO,,If Agcable,0.2,0.000,1.000,0.75,-1.84,5.01,0.2,0.75,0.0,0.00,0.2,1.3,Piecewise Linear,5,WAT (Water),-1.03
141789,Oakdale 4,1,IN,YES,NO,,If Agcable,2.0,0.000,1.000,10.32,-1.83,5.06,2.0,10.32,0.0,0.00,2.0,4.3,Piecewise Linear,5,WAT (Water),-14.07
141789,Oakdale 4,2,IN,YES,NO,,If Agcable,1.5,0.000,1.000,7.46,-1.83,5.04,1.5,7.46,0.0,0.00,1.5,3.2,Piecewise Linear,5,WAT (Water),-10.17
141790,Oakdale 5,1,IN,YES,NO,,If Agcable,2.0,0.000,1.000,9.87,-1.83,5.06,2.0,9.87,0.0,0.00,2.0,4.3,Piecewise Linear,5,WAT (Water),-13.45
141794,Cayuga 4,1,IN,YES,NO,,If Agcable,180.4,0.000,1.000,6639.18,-1.72,30.72,180.4,6639.18,0.0,-0.00,180.4,531.0,Piecewise Linear,5,BIT (Bituminous Coal),-6949.80
141795,Cayuga 5,1,IN,YES,NO,,If Agcable,186.8,0.000,1.000,7005.78,-1.72,31.63,186.8,7005.78,0.0,-0.00,186.8,531.0,Piecewise Linear,5,BIT (Bituminous Coal),-7327.43
141796,Cayuga 6,1,IN,YES,NO,,If Agcable,1.2,0.000,1.000,233.30,-1.72,196.90,1.2,233.30,0.0,-0.00,1.2,2.6,Piecewise Linear,5,DFO (Distillate Fuel Oil),-235.33
141796,Cayuga 6,2,IN,YES,NO,,If Agcable,1.2,0.000,1.000,226.30,-1.72,195.95,1.2,226.30,0.0,0.00,1.2,2.6,Piecewise Linear,5,DFO (Distillate Fuel Oil),-228.28
141797,Cayuga 7,1,IN,YES,NO,,If Agcable,0.5,0.000,1.000,102.30,-1.72,187.66,0.5,102.30,0.0,0.00,0.5,2.6,Piecewise Linear,5,DFO (Distillate Fuel Oil),-103.23
141797,Cayuga 7,2,IN,YES,NO,,If Agcable,1.1,0.000,1.000,217.82,-1.72,195.37,1.1,217.82,0.0,-0.00,1.1,2.6,Piecewise Linear,5,DFO (Distillate Fuel Oil),-219.73
141798,Cayuga 8,1,IN,YES,NO,,If Agcable,30.3,0.000,1.000,3489.32,-1.72,110.51,30.3,3489.32,0.0,-0.00,30.3,112.5,Piecewise Linear,5,NG (Natural Gas),-3541.52
141802,Edwardsport 4,1,IN,YES,NO,,If Agcable,83.8,0.000,1.000,3409.87,-1.66,40.71,83.8,3409.87,0.0,0.00,83.8,236.5,Piecewise Linear,5,SGC (Coal-Derived Synthesis Gas),-3549.27
141803,Edwardsport 5,1,IN,YES,NO,,If Agcable,54.5,0.000,1.000,2216.10,-1.67,40.64,54.5,2216.10,0.0,0.00,54.5,236.5,Piecewise Linear,5,SGC (Coal-Derived Synthesis Gas),-2306.90
141804,Edwardsport 6,1,IN,YES,NO,,If Agcable,154.2,0.000,1.000,13642.40,-1.66,84.02,154.2,13642.40,0.0,0.00,154.2,331.5,Piecewise Linear,5,SGC (Coal-Derived Synthesis Gas),-13899.10
141808,Markland 4,1,IN,YES,NO,,If Agcable,6.1,0.000,1.000,30.56,-1.88,5.01,6.1,30.56,0.0,0.00,6.1,21.6,Piecewise Linear,5,WAT (Water),-42.02
141809,Markland 5,1,IN,YES,NO,,If Agcable,3.6,0.000,1.000,17.98,-1.88,4.98,3.6,17.98,0.0,-0.00,3.6,25.9,Piecewise Linear,5,WAT (Water),-24.76
141809,Markland 5,2,IN,YES,NO,,If Agcable,2.5,0.000,1.000,12.23,-1.88,4.97,2.5,12.23,0.0,0.00,2.5,21.6,Piecewise Linear,5,WAT (Water),-16.85
141813,Noblesville 4,1,IN,YES,NO,,If Agcable,9.3,0.000,1.000,532.70,-1.99,53.03,9.3,532.70,0.0,0.00,9.3,50.0,Piecewise Linear,5,NG (Natural Gas),-551.15
141814,Noblesville 5,1,IN,YES,NO,,If Agcable,10.5,0.000,1.000,598.29,-1.99,53.42,10.5,598.29,0.0,-0.00,10.5,50.0,Piecewise Linear,5,NG (Natural Gas),-619.04
141815,Noblesville 6,1,IN,YES,NO,,If Agcable,7.7,0.000,1.000,834.84,-1.99,98.68,7.7,834.84,0.0,-0.00,7.7,61.0,Piecewise Linear,5,NG (Natural Gas),-850.09
141816,Noblesville 7,1,IN,YES,NO,,If Agcable,21.4,0.000,1.000,2809.73,-1.99,127.52,21.4,2809.73,0.0,-0.00,21.4,61.0,Piecewise Linear,5,NG (Natural Gas),-2852.29
141817,Noblesville 8,1,IN,YES,NO,,If Agcable,11.1,0.000,1.000,1238.53,-1.99,104.55,11.1,1238.53,0.0,0.00,11.1,61.0,Piecewise Linear,5,NG (Natural Gas),-1260.60
141821,R Gallagher 4,1,IN,YES,NO,,If Agcable,15.1,0.000,1.000,588.79,-1.84,18.52,15.1,588.79,0.0,0.00,15.1,150.0,Piecewise Linear,5,BIT (Bituminous Coal),-616.45
141822,R Gallagher 5,1,IN,YES,NO,,If Agcable,49.8,0.000,1.000,1990.98,-1.84,33.73,49.8,1990.98,0.0,0.00,49.8,150.0,Piecewise Linear,5,BIT (Bituminous Coal),-2082.50
141826,F B Culley 4,1,IN,YES,NO,,If Agcable,46.1,0.000,1.000,1979.71,-1.59,38.33,46.1,1979.71,0.0,-0.00,46.1,103.7,Piecewise Linear,5,BIT (Bituminous Coal),-2052.97
141827,F B Culley 5,1,IN,YES,NO,,If Agcable,65.1,0.000,1.000,2308.44,-1.59,27.04,65.1,2308.44,0.0,0.00,65.1,265.2,Piecewise Linear,5,BIT (Bituminous Coal),-2411.96
141831,Crawfordsville Power Plant 4,1,IN,YES,NO,,If Agcable,1.3,0.000,1.000,49.30,-1.85,19.06,1.3,49.30,0.0,-0.00,1.3,11.5,Piecewise Linear,5,BIT (Bituminous Coal),-51.78
141832,Crawfordsville Power Plant 5,1,IN,YES,NO,,If Agcable,4.5,0.000,1.000,170.72,-1.85,32.01,4.5,170.72,0.0,0.00,4.5,12.6,Piecewise Linear,5,BIT (Bituminous Coal),-179.09
141834,Crawfordsville Power Plant 7,1,IN,YES,NO,,If Agcable,0.2,0.000,1.000,44.46,-1.86,192.00,0.2,44.46,0.0,0.00,0.2,0.8,Piecewise Linear,5,DFO (Distillate Fuel Oil),-44.89
