Load
Number of Bus,Name of Bus,ID,Area Name of Load,AGC,MW,Cost Shift $/MWh,Cost Multiplier,Hourly Benefit,MW Marg. Cost of Bus,HDR::Load_GenICost:1,Initial MW,Initial Cost,Delta MW,Delta Cost,Min MW,Max MW,# of Benefit Curve Points,Profit $/hr
132279,CARLYLE 1 1,D,IL,YES,3.2,0.000,1.000,156.92,-1.54,33.59,3.2,156.92,0.0,0.00,0.0,6.8,4,161.84
132280,CARLYLE 2 1,D,IL,YES,3.4,0.000,1.000,55.76,-1.54,3.18,3.4,55.76,0.0,-0.00,0.0,6.8,4,61.01
132281,CARLYLE 3 1,D,IL,YES,3.1,0.000,1.000,93.92,-1.54,9.10,3.1,93.92,0.0,-0.00,0.0,6.8,4,98.70
132282,CASEYVILLE 1,D,IL,YES,2.9,0.000,1.000,1461.66,-1.55,33.08,2.9,1461.66,0.0,-0.00,0.0,6.5,4,1466.15
132283,CHESTER 1 1,D,IL,YES,4.7,0.000,1.000,32.91,-1.49,3.18,4.7,32.91,0.0,0.00,0.0,9.9,4,39.92
132286,CHESTER 2 3,D,IL,YES,4.2,0.000,1.000,143.22,-1.49,28.86,4.2,143.22,0.0,0.00,0.0,8.9,4,149.48
132289,CHESTER 3 1,D,IL,YES,4.9,0.000,1.000,44.80,-1.49,3.18,4.9,44.80,0.0,0.00,0.0,8.9,4,52.12
132290,COLLINSVILLE 5 1,D,IL,YES,8.6,0.000,1.000,94.86,-1.54,3.89,8.6,94.86,0.0,-0.00,0.0,22.3,4,108.11
132291,COLLINSVILLE 6 1,D,IL,YES,8.4,0.000,1.000,1758.36,-1.53,14.59,8.4,1758.36,0.0,0.00,0.0,22.3,4,1771.24
132294,COLLINSVILLE 7 3,D,IL,YES,9.3,0.000,1.000,125.99,-1.54,3.18,9.3,125.99,0.0,-0.00,0.0,23.7,4,140.35
132295,COLLINSVILLE 8 1,D,IL,YES,10.2,0.000,1.000,1553.93,-1.54,31.21,10.2,1553.93,0.0,0.00,0.0,22.3,4,1569.60
132296,COULTERVILLE 1,D,IL,YES,2.4,0.000,1.000,1099.80,-1.49,29.00,2.4,1099.80,0.0,0.00,0.0,5.1,4,1103.37
132297,EVANSVILLE 24 1,D,IL,YES,0.6,0.000,1.000,6.89,-1.49,7.67,0.6,6.89,0.0,0.00,0.0,1.4,4,7.78
132298,EVANSVILLE 25 1,D,IL,YES,2.9,0.000,1.000,1054.08,-1.49,30.60,2.9,1054.08,0.0,-0.00,0.0,5.7,4,1058.41
132299,FREEBURG 1 1,D,IL,YES,2.2,0.000,1.000,230.41,-1.54,65.18,2.2,230.41,0.0,-0.00,0.0,5.3,4,233.79
132300,FREEBURG 2 1,D,IL,YES,2.8,0.000,1.000,1653.20,-1.52,50.84,2.8,1653.20,0.0,0.00,0.0,6.2,4,1657.47
132301,GREENVILLE 9 1,D,IL,YES,4.6,0.000,1.000,211.01,-1.55,31.03,4.6,211.01,0.0,0.00,0.0,10.1,4,218.16
132304,GREENVILLE 10 3,D,IL,YES,5.2,0.000,1.000,257.77,-1.55,35.65,5.2,257.77,0.0,0.00,0.0,11.3,4,265.82
132305,GREENVILLE 11 1,D,IL,YES,4.1,0.000,1.000,52.23,-1.55,3.18,4.1,52.23,0.0,-0.00,0.0,11.4,4,58.59
132306,HIGHLAND 1 1,D,IL,YES,4.0,0.000,1.000,196.50,-1.55,9.10,4.0,196.50,0.0,-0.00,0.0,10.7,4,202.68
132307,HIGHLAND 2 1,D,IL,YES,4.9,0.000,1.000,496.96,-1.54,40.70,4.9,496.96,0.0,0.00,0.0,10.7,4,504.50
132308,HIGHLAND 3 1,D,IL,YES,4.4,0.000,1.000,1588.33,-1.53,38.30,4.4,1588.33,0.0,0.00,0.0,10.7,4,1595.07
132309,HIGHLAND 4 1,D,IL,YES,4.3,0.000,1.000,136.63,-1.53,9.10,4.3,136.63,0.0,-0.00,0.0,10.7,4,143.21
132310,KEYESPORT 1,D,IL,YES,1.6,0.000,1.000,58.90,-1.55,9.10,1.6,58.90,0.0,-0.00,0.0,4.0,4,61.38
132311,LEBANON 9 1,D,IL,YES,3.6,0.000,1.000,37.19,-1.54,3.49,3.6,37.19,0.0,-0.00,0.0,10.8,4,42.72
132312,MASCOUTAH 1 1,D,IL,YES,3.8,0.000,1.000,2186.96,-1.53,62.93,3.8,2186.96,0.0,-0.00,0.0,8.8,4,2192.80
132313,MASCOUTAH 2 1,D,IL,YES,5.3,0.000,1.000,148.55,-1.54,9.10,5.3,148.55,0.0,-0.00,0.0,13.4,4,156.72
132314,MASCOUTAH 3 1,D,IL,YES,3.8,0.000,1.000,73.06,-1.54,11.38,3.8,73.06,0.0,0.00,0.0,8.2,4,78.92
132315,MILLSTADT 1 1,D,IL,YES,3.6,0.000,1.000,51.99,-1.52,11.02,3.6,51.99,0.0,-0.00,0.0,8.3,4,57.48
132316,MILLSTADT 2 1,D,IL,YES,2.0,0.000,1.000,122.16,-1.53,59.20,2.0,122.16,0.0,-0.00,0.0,6.5,4,125.21
132317,MILLSTADT 3 1,D,IL,YES,3.2,0.000,1.000,398.64,-1.53,30.00,3.2,398.64,0.0,0.00,0.0,6.5,4,403.55
132318,O FALLON 9 1,D,IL,YES,7.8,0.000,1.000,205.09,-1.53,9.10,7.8,205.09,0.0,0.00,0.0,20.9,4,217.03
132321,O FALLON 10 3,D,IL,YES,12.3,0.000,1.000,414.44,-1.53,9.10,12.3,414.44,0.0,0.00,0.0,26.4,4,433.28
132324,O FALLON 11 3,D,IL,YES,10.5,0.000,1.000,397.82,-1.52,19.87,10.5,397.82,0.0,-0.00,0.0,25.7,4,413.83
132327,O FALLON 12 3,D,IL,YES,9.3,0.000,1.000,147.38,-1.53,9.43,9.3,147.38,0.0,-0.00,0.0,20.9,4,161.58
132328,OKAWVILLE 1 1,D,IL,YES,0.7,0.000,1.000,115.42,-1.53,38.20,0.7,115.42,0.0,-0.00,0.0,1.8,4,116.49
132329,OKAWVILLE 2 1,D,IL,YES,0.6,0.000,1.000,205.09,-1.53,89.85,0.6,205.09,0.0,0.00,0.0,1.8,4,206.01
132330,PERCY 1,D,IL,YES,2.4,0.000,1.000,931.47,-1.50,20.82,2.4,931.47,0.0,0.00,0.0,5.4,4,935.08
132331,POCAHONTAS 2 1,D,IL,YES,1.8,0.000,1.000,18.70,-1.54,3.57,1.8,18.70,0.0,-0.00,0.0,4.0,4,21.48
132332,POCAHONTAS 3 1,D,IL,YES,3.0,0.000,1.000,1065.19,-1.55,35.86,3.0,1065.19,0.0,0.00,0.0,6.4,4,1069.84
132333,SMITHTON 1 1,D,IL,YES,2.5,0.000,1.000,761.87,-1.51,23.06,2.5,761.87,0.0,-0.00,0.0,5.8,4,765.64
132334,SMITHTON 2 1,D,IL,YES,2.9,0.000,1.000,44.91,-1.52,8.85,2.9,44.91,0.0,0.00,0.0,8.0,4,49.32
132335,SPARTA 6 1,D,IL,YES,3.0,0.000,1.000,905.79,-1.49,23.93,3.0,905.79,0.0,-0.00,0.0,6.8,4,910.25
132336,SPARTA 7 1,D,IL,YES,2.6,0.000,1.000,986.22,-1.49,27.23,2.6,986.22,0.0,-0.00,0.0,5.4,4,990.11
132339,SPARTA 8 3,D,IL,YES,3.2,0.000,1.000,66.10,-1.48,9.10,3.2,66.10,0.0,0.00,0.0,7.7,4,70.85
132340,TROY 5 1,D,IL,YES,5.3,0.000,1.000,160.20,-1.54,28.96,5.3,160.20,0.0,0.00,0.0,12.8,4,168.35
132341,TROY 6 1,D,IL,YES,5.7,0.000,1.000,3040.17,-1.54,61.04,5.7,3040.17,0.0,0.00,0.0,12.8,4,3048.93
132342,TROY 7 1,D,IL,YES,4.9,0.000,1.000,937.24,-1.54,41.22,4.9,937.24,0.0,0.00,0.0,12.8,4,944.77
132343,WATERLOO 12 1,D,IL,YES,5.0,0.000,1.000,61.81,-1.51,3.18,5.0,61.81,0.0,0.00,0.0,11.1,4,69.35
132344,WATERLOO 13 1,D,IL,YES,4.3,0.000,1.000,156.62,-1.51,9.10,4.3,156.62,0.0,0.00,0.0,11.1,4,163.11
132345,WATERLOO 14 1,D,IL,YES,5.1,0.000,1.000,117.97,-1.50,15.15,5.1,117.97,0.0,0.00,0.0,11.1,4,125.64
132346,WATERLOO 15 1,D,IL,YES,5.1,0.000,1.000,1820.29,-1.51,17.91,5.1,1820.29,0.0,0.00,0.0,11.1,4,1827.99
132347,QUINCY 5 1,D,IL,YES,5.0,0.000,1.000,59.07,-1.47,3.67,5.0,59.07,0.0,0.00,0.0,12.0,4,66.43
132348,QUINCY 6 1,D,IL,YES,5.1,0.000,1.000,117.36,-1.47,9.10,5.1,117.36,0.0,0.00,0.0,12.6,4,124.87
132351,QUINCY 7 3,D,IL,YES,5.0,0.000,1.000,45.92,-1.47,3.74,5.0,45.92,0.0,0.00,0.0,12.2,4,53.25
132352,QUINCY 8 1,D,IL,YES,5.5,0.000,1.000,176.83,-1.47,9.10,5.5,176.83,0.0,0.00,0.0,12.0,4,184.93
132353,AUGUSTA 5 1,D,IL,YES,2.7,0.000,1.000,46.25,-1.49,9.10,2.7,46.25,0.0,-0.00,0.0,4.9,4,50.27
132354,BARRY 1 1,D,IL,YES,0.9,0.000,1.000,207.51,-1.48,34.65,0.9,207.51,0.0,-0.00,0.0,2.6,4,208.84
132355,BARRY 2 1,D,IL,YES,2.5,0.000,1.000,82.42,-1.48,15.12,2.5,82.42,0.0,0.00,0.0,5.3,4,86.12
132356,CAMP POINT 1 1,D,IL,YES,0.9,0.000,1.000,310.30,-1.50,22.75,0.9,310.30,0.0,-0.00,0.0,2.2,4,311.64
132357,CAMP POINT 2 1,D,IL,YES,1.8,0.000,1.000,29.43,-1.49,3.18,1.8,29.43,0.0,0.00,0.0,4.1,4,32.12
132358,CAMP POINT 3 1,D,IL,YES,2.8,0.000,1.000,83.66,-1.48,15.27,2.8,83.66,0.0,-0.00,0.0,5.3,4,87.82
132361,CARTHAGE 12 3,D,IL,YES,1.3,0.000,1.000,638.16,-1.48,50.22,1.3,638.16,0.0,0.00,0.0,4.7,4,640.08
132362,CARTHAGE 13 1,D,IL,YES,1.5,0.000,1.000,126.78,-1.51,63.32,1.5,126.78,0.0,0.00,0.0,3.7,4,129.04
132363,CARTHAGE 14 1,D,IL,YES,1.8,0.000,1.000,44.36,-1.49,30.44,1.8,44.36,0.0,0.00,0.0,3.7,4,47.04
132364,COLCHESTER 1 1,D,IL,YES,1.6,0.000,1.000,99.59,-1.51,9.10,1.6,99.59,0.0,0.00,0.0,3.9,4,102.00
132365,COLCHESTER 2 1,D,IL,YES,1.9,0.000,1.000,124.68,-1.51,30.64,1.9,124.68,0.0,0.00,0.0,4.4,4,127.54
132366,DALLAS CITY 1,D,IL,YES,1.9,0.000,1.000,768.84,-1.52,21.66,1.9,768.84,0.0,-0.00,0.0,4.8,4,771.74
132367,GRIGGSVILLE 1,D,IL,YES,2.4,0.000,1.000,61.40,-1.50,23.74,2.4,61.40,0.0,0.00,0.0,4.6,4,65.00
132368,HAMILTON 8 1,D,IL,YES,1.2,0.000,1.000,505.04,-1.46,20.08,1.2,505.04,0.0,-0.00,0.0,3.2,4,506.79
132369,HAMILTON 9 1,D,IL,YES,1.5,0.000,1.000,37.53,-1.46,9.90,1.5,37.53,0.0,0.00,0.0,3.7,4,39.72
132370,HAMILTON 10 1,D,IL,YES,1.2,0.000,1.000,17.49,-1.47,3.18,1.2,17.49,0.0,-0.00,0.0,3.2,4,19.25
132371,MOUNT STERLING 1 1,D,IL,YES,2.9,0.000,1.000,80.97,-1.50,21.72,2.9,80.97,0.0,0.00,0.0,5.6,4,85.32
132374,MOUNT STERLING 2 3,D,IL,YES,2.2,0.000,1.000,89.91,-1.50,11.64,2.2,89.91,0.0,0.00,0.0,5.3,4,93.21
132377,MOUNT STERLING 3 1,D,IL,YES,2.0,0.000,1.000,21.90,-1.50,3.27,2.0,21.90,0.0,0.00,0.0,5.0,4,24.90
132378,NAUVOO 1,D,IL,YES,2.5,0.000,1.000,136.74,-1.52,21.33,2.5,136.74,0.0,-0.00,0.0,6.5,4,140.55
132379,NEBO 1,D,IL,YES,0.9,0.000,1.000,21.25,-1.51,9.10,0.9,21.25,0.0,-0.00,0.0,2.2,4,22.61
132380,PEARL 1 1,D,IL,YES,0.8,0.000,1.000,111.24,-1.50,41.06,0.8,111.24,0.0,0.00,0.0,2.1,4,112.45
132381,PLYMOUTH 9 1,D,IL,YES,1.1,0.000,1.000,559.79,-1.49,55.81,1.1,559.79,0.0,0.00,0.0,3.0,4,561.44
132382,URSA 1,D,IL,YES,1.6,0.000,1.000,777.42,-1.49,27.12,1.6,777.42,0.0,-0.00,0.0,3.9,4,779.81
132383,EFFINGHAM 1 1,D,IL,YES,6.5,0.000,1.000,3233.73,-1.58,31.00,6.5,3233.73,0.0,0.00,0.0,15.4,4,3243.97
132384,EFFINGHAM 2 1,D,IL,YES,7.2,0.000,1.000,216.09,-1.58,30.91,7.2,216.09,0.0,0.00,0.0,14.0,4,227.48
132385,EFFINGHAM 3 1,D,IL,YES,5.3,0.000,1.000,2731.70,-1.57,69.97,5.3,2731.70,0.0,-0.00,0.0,12.7,4,2740.04
132388,EFFINGHAM 4 3,D,IL,YES,5.7,0.000,1.000,814.00,-1.57,30.00,5.7,814.00,0.0,-0.00,0.0,13.8,4,822.94
132389,BROWNSTOWN 1 1,D,IL,YES,0.8,0.000,1.000,8.63,-1.56,3.18,0.8,8.63,0.0,0.00,0.0,1.9,4,9.88
132390,BROWNSTOWN 2 1,D,IL,YES,1.6,0.000,1.000,46.21,-1.56,9.10,1.6,46.21,0.0,0.00,0.0,3.8,4,48.71
132391,CASEY 1 1,D,IL,YES,1.9,0.000,1.000,336.74,-1.60,65.78,1.9,336.74,0.0,-0.00,0.0,4.2,4,339.78
132394,CASEY 2 3,D,IL,YES,3.1,0.000,1.000,108.86,-1.58,25.42,3.1,108.86,0.0,0.00,0.0,7.7,4,113.76
132395,CASEY 3 1,D,IL,YES,2.3,0.000,1.000,490.98,-1.60,32.83,2.3,490.98,0.0,-0.00,0.0,4.2,4,494.66
132396,DIETERICH 1 1,D,IL,YES,0.9,0.000,1.000,11.53,-1.58,3.95,0.9,11.53,0.0,-0.00,0.0,2.0,4,12.95
132397,DIETERICH 2 1,D,IL,YES,2.4,0.000,1.000,1054.14,-1.58,22.63,2.4,1054.14,0.0,0.00,0.0,5.0,4,1057.92
132398,FLAT ROCK 4 1,D,IL,YES,1.2,0.000,1.000,479.38,-1.65,23.54,1.2,479.38,0.0,-0.00,0.0,3.0,4,481.36
132399,GREENUP 1 1,D,IL,YES,1.5,0.000,1.000,529.08,-1.59,33.49,1.5,529.08,0.0,0.00,0.0,4.3,4,531.47
132400,GREENUP 2 1,D,IL,YES,1.2,0.000,1.000,14.36,-1.59,3.18,1.2,14.36,0.0,0.00,0.0,2.8,4,16.27
132403,LAWRENCEVILLE 1 3,D,IL,YES,5.8,0.000,1.000,126.14,-1.63,10.47,5.8,126.14,0.0,0.00,0.0,13.4,4,135.59
132404,LAWRENCEVILLE 2 1,D,IL,YES,2.8,0.000,1.000,1122.19,-1.63,30.00,2.8,1122.19,0.0,-0.00,0.0,6.7,4,1126.77
132405,MARTINSVILLE 1 1,D,IL,YES,0.6,0.000,1.000,27.48,-1.63,30.34,0.6,27.48,0.0,-0.00,0.0,2.1,4,28.46
132406,MARTINSVILLE 2 1,D,IL,YES,0.8,0.000,1.000,7.11,-1.65,3.18,0.8,7.11,0.0,-0.00,0.0,2.3,4,8.43
132407,MARTINSVILLE 3 1,D,IL,YES,1.8,0.000,1.000,47.80,-1.64,9.10,1.8,47.80,0.0,-0.00,0.0,4.1,4,50.75
132408,MASON 2 1,D,IL,YES,0.6,0.000,1.000,256.28,-1.57,25.77,0.6,256.28,0.0,0.00,0.0,1.4,4,257.23
132409,MASON 3 1,D,IL,YES,0.6,0.000,1.000,139.94,-1.57,42.74,0.6,139.94,0.0,0.00,0.0,1.4,4,140.88
132410,NEOGA 1 1,D,IL,YES,1.2,0.000,1.000,27.93,-1.58,11.95,1.2,27.93,0.0,-0.00,0.0,3.0,4,29.82
132411,NEOGA 2 1,D,IL,YES,1.6,0.000,1.000,39.66,-1.58,10.16,1.6,39.66,0.0,-0.00,0.0,4.1,4,42.19
132412,NEOGA 3 1,D,IL,YES,2.1,0.000,1.000,140.71,-1.57,18.13,2.1,140.71,0.0,0.00,0.0,4.0,4,144.01
132413,OBLONG 1 1,D,IL,YES,1.0,0.000,1.000,61.04,-1.62,20.15,1.0,61.04,0.0,0.00,0.0,2.8,4,62.66
132414,OBLONG 2 1,D,IL,YES,1.2,0.000,1.000,567.29,-1.64,35.66,1.2,567.29,0.0,0.00,0.0,2.8,4,569.25
132415,OBLONG 3 1,D,IL,YES,1.3,0.000,1.000,47.06,-1.61,19.21,1.3,47.06,0.0,0.00,0.0,3.9,4,49.15
132416,OLNEY 1 1,D,IL,YES,4.5,0.000,1.000,140.10,-1.59,9.10,4.5,140.10,0.0,-0.00,0.0,10.9,4,147.26
132417,OLNEY 2 1,D,IL,YES,5.4,0.000,1.000,191.51,-1.60,21.59,5.4,191.51,0.0,-0.00,0.0,13.1,4,200.13
132420,OLNEY 3 3,D,IL,YES,6.7,0.000,1.000,1360.03,-1.58,27.06,6.7,1360.03,0.0,-0.00,0.0,12.6,4,1370.64
132421,PALESTINE 1 1,D,IL,YES,2.0,0.000,1.000,313.49,-1.64,57.70,2.0,313.49,0.0,-0.00,0.0,5.4,4,316.77
132424,ROBINSON 1 3,D,IL,YES,4.6,0.000,1.000,162.65,-1.65,29.77,4.6,162.65,0.0,0.00,0.0,10.2,4,170.23
132425,ROBINSON 2 1,D,IL,YES,4.0,0.000,1.000,239.71,-1.65,21.84,4.0,239.71,0.0,-0.00,0.0,10.2,4,246.31
132426,ROBINSON 3 1,D,IL,YES,4.8,0.000,1.000,137.20,-1.65,9.10,4.8,137.20,0.0,-0.00,0.0,10.2,4,145.10
132427,SAINT FRANCISVILLE 1,D,IL,YES,2.5,0.000,1.000,71.66,-1.59,10.36,2.5,71.66,0.0,0.00,0.0,5.9,4,75.63
132430,SUMNER 1 3,D,IL,YES,3.7,0.000,1.000,1927.56,-1.62,44.24,3.7,1927.56,0.0,-0.00,0.0,7.7,4,1933.55
132431,SUMNER 2 1,D,IL,YES,3.3,0.000,1.000,269.95,-1.60,32.04,3.3,269.95,0.0,-0.00,0.0,7.0,4,275.23
132432,SUMNER 3 1,D,IL,YES,2.8,0.000,1.000,974.10,-1.62,30.00,2.8,974.10,0.0,0.00,0.0,7.0,4,978.64
132433,TEUTOPOLIS 1 1,D,IL,YES,1.7,0.000,1.000,91.18,-1.57,15.73,1.7,91.18,0.0,-0.00,0.0,4.3,4,93.86
132434,TEUTOPOLIS 2 1,D,IL,YES,1.4,0.000,1.000,133.43,-1.58,32.33,1.4,133.43,0.0,0.00,0.0,3.3,4,135.64
132435,TEUTOPOLIS 3 1,D,IL,YES,1.6,0.000,1.000,60.63,-1.58,12.56,1.6,60.63,0.0,-0.00,0.0,4.1,4,63.16
132436,TOLEDO 1 1,D,IL,YES,3.5,0.000,1.000,105.03,-1.58,19.89,3.5,105.03,0.0,0.00,0.0,8.4,4,110.57
132437,TOLEDO 2 1,D,IL,YES,1.8,0.000,1.000,45.05,-1.58,10.77,1.8,45.05,0.0,-0.00,0.0,4.9,4,47.89
132440,VANDALIA 3 3,D,IL,YES,4.7,0.000,1.000,2177.15,-1.55,15.47,4.7,2177.15,0.0,-0.00,0.0,10.9,4,2184.43
132441,VANDALIA 4 1,D,IL,YES,4.1,0.000,1.000,96.72,-1.55,9.10,4.1,96.72,0.0,0.00,0.0,9.1,4,103.07
132442,VANDALIA 5 1,D,IL,YES,3.7,0.000,1.000,116.43,-1.56,14.34,3.7,116.43,0.0,0.00,0.0,9.9,4,122.19
132443,WESTFIELD 2 1,D,IL,YES,0.6,0.000,1.000,5.44,-1.64,3.18,0.6,5.44,0.0,0.00,0.0,1.5,4,6.42
132444,WEST LIBERTY 1,D,IL,YES,1.0,0.000,1.000,16.19,-1.60,4.23,1.0,16.19,0.0,-0.00,0.0,2.4,4,17.80
132445,WEST SALEM 2 1,D,IL,YES,1.5,0.000,1.000,83.81,-1.59,35.07,1.5,83.81,0.0,0.00,0.0,3.0,4,86.20
132446,WHEELER 1 1,D,IL,YES,0.8,0.000,1.000,17.43,-1.58,11.72,0.8,17.43,0.0,-0.00,0.0,2.0,4,18.69
132447,ARGENTA 1,D,IL,YES,3.1,0.000,1.000,80.48,-1.55,18.70,3.1,80.48,0.0,-0.00,0.0,7.5,4,85.29
132448,ASSUMPTION 1 1,D,IL,YES,0.7,0.000,1.000,34.68,-1.55,28.86,0.7,34.68,0.0,0.00,0.0,1.5,4,35.77
132449,ASSUMPTION 2 1,D,IL,YES,1.2,0.000,1.000,161.16,-1.56,33.00,1.2,161.16,0.0,0.00,0.0,2.9,4,163.03
132450,DECATUR 20 1,D,IL,YES,5.8,0.000,1.000,324.35,-1.55,23.77,5.8,324.35,0.0,0.00,0.0,12.5,4,333.33
132451,DECATUR 21 1,D,IL,YES,4.9,0.000,1.000,247.50,-1.56,35.12,4.9,247.50,0.0,0.00,0.0,11.5,4,255.17
132452,DECATUR 22 1,D,IL,YES,4.2,0.000,1.000,2504.93,-1.56,15.30,4.2,2504.93,0.0,-0.00,0.0,11.7,4,2511.49
132453,DECATUR 23 1,D,IL,YES,4.3,0.000,1.000,1859.29,-1.55,70.23,4.3,1859.29,0.0,-0.00,0.0,11.2,4,1865.96
132454,DIVERNON 1 1,D,IL,YES,1.1,0.000,1.000,42.33,-1.54,11.51,1.1,42.33,0.0,-0.00,0.0,3.2,4,44.02
132455,DIVERNON 2 1,D,IL,YES,0.6,0.000,1.000,282.13,-1.54,20.41,0.6,282.13,0.0,0.00,0.0,1.3,4,283.05
132456,EDINBURG 2 1,D,IL,YES,2.7,0.000,1.000,751.93,-1.53,34.15,2.7,751.93,0.0,-0.00,0.0,5.8,4,756.07
132457,EDINBURG 3 1,D,IL,YES,1.5,0.000,1.000,61.74,-1.54,9.10,1.5,61.74,0.0,0.00,0.0,3.9,4,64.05
132458,ILLIOPOLIS 1,D,IL,YES,1.2,0.000,1.000,23.17,-1.54,17.71,1.2,23.17,0.0,0.00,0.0,4.0,4,25.02
132459,KINCAID 1,D,IL,YES,1.5,0.000,1.000,42.72,-1.54,9.10,1.5,42.72,0.0,0.00,0.0,3.2,4,45.03
132460,MECHANICSBURG 1,D,IL,YES,1.0,0.000,1.000,130.63,-1.54,30.25,1.0,130.63,0.0,-0.00,0.0,2.3,4,132.17
132461,MOUNT PULASKI 1 1,D,IL,YES,1.9,0.000,1.000,1144.76,-1.55,30.00,1.9,1144.76,0.0,0.00,0.0,5.5,4,1147.70
132462,MOUNT PULASKI 2 1,D,IL,YES,1.0,0.000,1.000,656.99,-1.55,53.48,1.0,656.99,0.0,0.00,0.0,2.4,4,658.54
132463,MT ZION 1 1,D,IL,YES,2.3,0.000,1.000,113.43,-1.54,25.03,2.3,113.43,0.0,-0.00,0.0,6.4,4,116.98
132464,MT ZION 2 1,D,IL,YES,3.6,0.000,1.000,586.37,-1.55,36.24,3.6,586.37,0.0,-0.00,0.0,7.2,4,591.96
132465,MT ZION 3 1,D,IL,YES,3.1,0.000,1.000,115.31,-1.55,31.28,3.1,115.31,0.0,-0.00,0.0,7.0,4,120.13
132466,OREANA 1,D,IL,YES,1.1,0.000,1.000,251.60,-1.56,41.06,1.1,251.60,0.0,-0.00,0.0,2.8,4,253.31
132467,RAYMOND 4 1,D,IL,YES,1.6,0.000,1.000,24.15,-1.54,10.81,1.6,24.15,0.0,-0.00,0.0,3.3,4,26.61
132470,SHELBYVILLE 8 3,D,IL,YES,3.1,0.000,1.000,96.18,-1.56,9.75,3.1,96.18,0.0,-0.00,0.0,6.7,4,101.02
132471,SHELBYVILLE 9 1,D,IL,YES,2.8,0.000,1.000,1355.04,-1.56,63.78,2.8,1355.04,0.0,0.00,0.0,6.7,4,1359.42
132472,SHELBYVILLE 10 1,D,IL,YES,4.3,0.000,1.000,131.67,-1.61,9.10,4.3,131.67,0.0,-0.00,0.0,9.7,4,138.59
132473,WARRENSBURG 5 1,D,IL,YES,1.0,0.000,1.000,15.46,-1.55,5.52,1.0,15.46,0.0,-0.00,0.0,2.7,4,17.01
132474,ASHLAND 10 1,D,IL,YES,1.5,0.000,1.000,66.85,-1.52,9.10,1.5,66.85,0.0,0.00,0.0,3.8,4,69.14
132475,ASHLAND 11 1,D,IL,YES,1.5,0.000,1.000,35.31,-1.53,6.96,1.5,35.31,0.0,-0.00,0.0,3.7,4,37.61
132478,AUBURN 5 3,D,IL,YES,5.6,0.000,1.000,332.20,-1.53,22.02,5.6,332.20,0.0,0.00,0.0,12.9,4,340.78
132479,AUBURN 6 1,D,IL,YES,4.1,0.000,1.000,131.03,-1.54,9.10,4.1,131.03,0.0,0.00,0.0,8.8,4,137.33
132480,AUBURN 7 1,D,IL,YES,1.9,0.000,1.000,17.45,-1.54,7.47,1.9,17.45,0.0,-0.00,0.0,6.2,4,20.37
132481,BATH 1 1,D,IL,YES,1.1,0.000,1.000,77.07,-1.51,41.62,1.1,77.07,0.0,0.00,0.0,2.5,4,78.73
132484,BEARDSTOWN 1 3,D,IL,YES,3.3,0.000,1.000,67.71,-1.50,12.62,3.3,67.71,0.0,-0.00,0.0,7.6,4,72.67
132485,BEARDSTOWN 2 1,D,IL,YES,4.5,0.000,1.000,2408.38,-1.51,30.41,4.5,2408.38,0.0,0.00,0.0,10.2,4,2415.16
132486,BEARDSTOWN 3 1,D,IL,YES,2.8,0.000,1.000,95.86,-1.51,9.34,2.8,95.86,0.0,-0.00,0.0,7.3,4,100.08
132487,BLUFFS 1,D,IL,YES,1.1,0.000,1.000,50.29,-1.50,16.55,1.1,50.29,0.0,0.00,0.0,3.3,4,51.94
132488,CARLINVILLE 1 1,D,IL,YES,3.2,0.000,1.000,89.94,-1.54,18.04,3.2,89.94,0.0,0.00,0.0,7.9,4,94.86
132491,CARLINVILLE 2 3,D,IL,YES,3.4,0.000,1.000,75.59,-1.53,9.10,3.4,75.59,0.0,-0.00,0.0,7.6,4,80.81
132492,CARLINVILLE 3 1,D,IL,YES,3.3,0.000,1.000,46.75,-1.54,6.44,3.3,46.75,0.0,0.00,0.0,7.4,4,51.82
132493,CHANDLERVILLE 1,D,IL,YES,1.6,0.000,1.000,62.25,-1.53,27.00,1.6,62.25,0.0,0.00,0.0,4.1,4,64.70
132494,CHATHAM 2 1,D,IL,YES,4.5,0.000,1.000,331.27,-1.54,41.36,4.5,331.27,0.0,0.00,0.0,11.5,4,338.19
132495,CHATHAM 3 1,D,IL,YES,4.3,0.000,1.000,1575.85,-1.54,28.63,4.3,1575.85,0.0,-0.00,0.0,11.5,4,1582.46
132498,CHATHAM 4 3,D,IL,YES,8.8,0.000,1.000,375.06,-1.54,10.25,8.8,375.06,0.0,0.00,0.0,20.7,4,388.57
132499,EASTON 1,D,IL,YES,1.3,0.000,1.000,141.96,-1.56,41.69,1.3,141.96,0.0,0.00,0.0,3.2,4,143.98
132500,ELKHART 10 1,D,IL,YES,1.0,0.000,1.000,13.40,-1.55,3.39,1.0,13.40,0.0,0.00,0.0,2.7,4,14.94
132501,FRANKLIN 9 1,D,IL,YES,0.7,0.000,1.000,265.30,-1.52,30.00,0.7,265.30,0.0,-0.00,0.0,1.8,4,266.37
132502,GIRARD 1 1,D,IL,YES,1.9,0.000,1.000,1195.24,-1.54,17.77,1.9,1195.24,0.0,-0.00,0.0,5.4,4,1198.18
132503,GIRARD 2 1,D,IL,YES,3.1,0.000,1.000,25.13,-1.54,3.18,3.1,25.13,0.0,-0.00,0.0,6.7,4,29.91
